seq_num,time,pil1mstats2,ssacurrent,pil1M_stats1_total,pil1M_image,pil300KW_stats1_total,pil300KW_image,pil1mstats3
652,2017-10-30 21:00:14.063755999,7366350.0,0.8977870941162109,5449103.0,de78a29d-eba8-44fd-8d02-03a89fde9089,14415587.0,ab7d99f2-b855-4408-b337-7e066a8b17b4,134442627.0
653,2017-10-30 21:00:19.576450000,7369015.0,0.8995208740234375,5452567.0,4e4b154e-a1ae-4472-a97e-bf38a98fda73,14406392.0,432c84d1-7117-4e1d-bc38-d476f0b12333,134462704.0
654,2017-10-30 21:00:24.959570000,7369121.0,0.8991909027099609,5445865.0,1375658b-0ab0-4b4e-9f7a-c487a5bd80c3,14398612.0,11ddd3a5-e8dc-4e95-9f85-4f12a7c072db,134455879.0
655,2017-10-30 21:00:30.431633000,7374224.0,0.9006919860839844,5445688.0,cb4a8cf4-d7c0-4232-970c-1c1cc67afd2e,14411785.0,4e027a02-44c8-4e7b-a8bb-10a0c51bf2ab,134463529.0
656,2017-10-30 21:00:35.948500000,7372132.0,0.9019985198974609,5450785.0,8942c008-439a-4504-aeb2-3edd7b924db2,14400200.0,f60d54af-7e7f-4970-9fa6-36f143180479,134388502.0
657,2017-10-30 21:00:41.343547000,7359449.0,0.9000358581542969,5443319.0,7eb99ad1-4173-4c53-96a3-503fe0e8a361,14394734.0,f3505d7f-7377-4ad2-b6d3-eb1e59ce5c2a,134304586.0
658,2017-10-30 21:00:46.725371000,7361757.0,0.8986606597900392,5439319.0,1d978ff9-379c-4699-a039-1fb42073b3ff,14378181.0,e2234416-b4d7-4fdc-8209-74f9b6f846a7,134290953.0
659,2017-10-30 21:00:52.231932000,7362982.0,0.9003429412841798,5442504.0,43339aac-987f-4f13-ad8b-7c75ef5bfa64,14388008.0,21bcc714-846c-4891-8d02-630738587f9f,134370697.0
660,2017-10-30 21:00:57.645195000,7361256.0,0.8997325897216798,5443174.0,4d4abc77-ef23-4659-9095-b4c1c59cce33,14380454.0,e68c765d-e593-4e64-8cb5-08c80bf515f9,134357197.0
661,2017-10-30 21:01:03.116526000,7365035.0,0.8993492126464844,5445033.0,27475aa2-b289-46a1-9b83-76c799271b69,14387457.0,5043d469-2259-4b3d-9ede-96bb7b6348ac,134393873.0
662,2017-10-30 21:01:08.635647000,7368832.0,0.8997993469238282,5443990.0,f39cc1d5-afee-4b45-9be4-1bbbf1437ec7,14381691.0,e2efff37-e1a1-41c2-b24a-1bb4af137e59,134445681.0
663,2017-10-30 21:01:14.145706000,7361659.0,0.898754119873047,5434030.0,b71fe95a-9173-44a8-8346-efda2c65cba2,14375952.0,13be3808-2362-44e7-ab23-408cd23a2cab,134336110.0
664,2017-10-30 21:01:19.673621000,7356475.0,0.8979473114013673,5439472.0,5b59fca8-b60a-4148-8ade-ba720ab98852,14373229.0,6fd7c5c9-6787-4214-b366-17f88f559d38,134261259.0
665,2017-10-30 21:01:25.161106000,7361305.0,0.8995742797851562,5437869.0,af224a55-9361-4a2d-8c4b-c4ebfc5baabb,14364022.0,4dab2756-1e66-40d8-9665-0798dc62cd80,134307170.0
666,2017-10-30 21:01:30.547670000,7358535.0,0.8991775512695312,5429264.0,dafcee7f-3f42-4019-b98c-5e30f55c9c07,14365007.0,14cd2fba-87c8-47c2-a02c-420f1d22ff34,134216072.0
667,2017-10-30 21:01:36.018351000,7356994.0,0.897857666015625,5435791.0,427c00f0-2146-4fda-a83d-14a9b4c504db,14366504.0,f8ed8687-124f-4df0-b75d-66424190d586,134325630.0
668,2017-10-30 21:01:41.391310000,7359729.0,0.8989543914794922,5439001.0,d2428118-8731-40a0-b4ef-5442052359c6,14352505.0,d4831073-b21c-4293-abc1-bf6fd95ec754,134391080.0
669,2017-10-30 21:01:46.774405000,7348014.0,0.8985595703125001,5429250.0,cfb75e44-ba2a-4026-988f-2f674d263cd3,14348752.0,e421c9fd-88cd-43c6-b1b5-e8ce0202c94a,134125920.0
670,2017-10-30 21:01:52.268666000,7352247.0,0.8990135192871094,5435339.0,397e3dbb-868c-4c6d-a088-465db1042661,14348915.0,f2af6e87-844f-4ed3-8ce2-3d0335c5d5f7,134301442.0
671,2017-10-30 21:01:57.655856000,7341227.0,0.8957767486572266,5424619.0,bda5e098-ffd0-4ab9-9d2e-717e01177c39,14346071.0,a3ece55c-ceef-43e4-91c1-c1477d3b0bf2,134062756.0
672,2017-10-30 21:02:03.152308000,7362284.0,0.8998107910156251,5435010.0,64839c28-e4e3-4fb8-ada8-8cc13f3dd550,14386384.0,88e9e9c5-80c3-4dec-ba14-fb8c46d4be2d,134421624.0
673,2017-10-30 21:02:08.578418000,7386060.0,0.9020004272460938,5451147.0,84295d86-213d-424d-b0ba-f8951b194afd,14426162.0,e4ac1d83-8113-4aef-9d46-3ff94c16d23e,134721403.0
674,2017-10-30 21:02:14.154888000,7389184.0,0.9002761840820312,5456041.0,12f9e1ff-c9ce-4b43-9086-aa5bf659af16,14417898.0,e751b03c-7d91-410d-a639-eb9a6b0a3433,134881282.0
675,2017-10-30 21:02:19.546040000,7388830.0,0.9013824462890625,5455261.0,3e69648f-ac07-49ae-8b72-0d2138e559f1,14424627.0,11130e1b-1b3a-4a65-bbfd-01d2060d367b,134823666.0
676,2017-10-30 21:02:25.061784000,7400201.0,0.8995208740234375,5457886.0,de1a486d-49b7-47ef-8a5f-7f49b41860fd,14419506.0,b4e6e316-7a85-40ec-8ac7-bdaddaa07426,135007152.0
677,2017-10-30 21:02:30.565454000,7398629.0,0.8989486694335938,5466442.0,33c99daa-bdca-42d7-8ba2-41a14aa224e8,14401809.0,e7775033-6021-4e2a-b981-e53d1749da07,135077577.0
678,2017-10-30 21:02:35.958277000,7376409.0,0.8996067047119141,5449438.0,81f935ec-2880-441e-ae4d-075243127278,14413386.0,057fb905-7113-4b00-b12e-3b11a86766a2,134678760.0
679,2017-10-30 21:02:41.476025000,7391683.0,0.9019012451171876,5456375.0,497c157f-f853-49f3-a116-4550a579eac1,14413070.0,46c859d8-0c1f-4fd9-9e37-7bdf7af7209f,134892813.0
680,2017-10-30 21:02:47.032443000,7385266.0,0.8970947265625001,5446102.0,ed1302a3-437b-4020-885e-d2fb60f97663,14403539.0,940eae0d-b616-42d3-99db-7a80208b046c,134788026.0
681,2017-10-30 21:02:52.540650000,7380214.0,0.8997268676757814,5445452.0,686d5599-a15a-4f7f-81e3-dd9c1c14268a,14384357.0,773ad90c-8f48-44af-97e3-59654ebe200c,134752592.0
682,2017-10-30 21:02:57.930212000,7372370.0,0.8988037109375,5441765.0,9276f21a-9437-4614-8746-c85ce1328477,14392492.0,569bc5b9-8d81-43ae-a0c0-c9d99e2ccfa3,134615088.0
683,2017-10-30 21:03:03.434676000,7378962.0,0.8993206024169922,5445538.0,312f782a-cfc5-4673-8f82-c11fdf3e5969,14395135.0,f9c806af-7612-41ec-86ed-6c352626602e,134679269.0
684,2017-10-30 21:03:08.849913000,7380556.0,0.897787094116211,5448648.0,d168ae6e-1630-4fd0-997d-8d9bd57159ea,14395514.0,e659c234-5bc6-4857-9609-8623d5137405,134688090.0
685,2017-10-30 21:03:14.385936000,7388023.0,0.8982677459716797,5450210.0,9d20fc9c-2d23-4d66-8264-f67225fd4bc7,14384529.0,15ee85f9-7cae-477c-b74d-9c12ae103194,134899278.0
